sale_item,business_industry
Pizza,restaurant and beverage
T-shirt,retail store
Electricity,utilities
Band-Aids,health care
Burger,restaurant and beverage
Jeans,retail store
Water,utilities
Antibiotics,health care
Coffee,restaurant and beverage
Shoes,retail store
Gas,utilities
Vitamins,health care
Soda,restaurant and beverage
Hat,retail store
Internet,utilities
First Aid Kit,health care
Smoothie,restaurant and beverage
Shorts,retail store
Painkillers,health care
Tea,restaurant and beverage
Dress,retail store
Cold Medicine,health care
Juice,restaurant and beverage
Phone,retail store
Allergy Medicine,health care
Salad,restaurant and beverage
Sneakers,retail store
Bandages,health care
Bakery,restaurant and beverage
Jacket,retail store
Insurance,health care
Bread,bakery
Sunglasses,retail store
Antiseptic,health care
