sale_item,business_industry
"Clothing,Shirt",Retail Store
"Electronics,Smartphone",Retail Store
"Home Goods,Pillow",Retail Store
"Beauty,Lipstick",Retail Store
"Electronics,Headphones",Retail Store
"Clothing,Jeans",Retail Store
"Home Goods,Blanket",Retail Store
"Beauty,Mascara",Retail Store
"Clothing,Dress",Retail Store
"Electronics,Laptop",Retail Store
"Home Goods,Cookware",Retail Store
"Beauty,Perfume",Retail Store
"Clothing,T-Shirt",Retail Store
"Electronics,TV",Retail Store
"Home Goods,Lamp",Retail Store
"Beauty,Foundation",Retail Store
"Clothing,Sweater",Retail Store
"Electronics,Tablet",Retail Store
"Home Goods,Curtains",Retail Store
"Beauty,Eyeshadow",Retail Store
"Clothing,Skirt",Retail Store
"Electronics,Camera",Retail Store
"Home Goods,Mattress",Retail Store
"Beauty,Nail Polish",Retail Store
"Clothing,Jacket",Retail Store
"Electronics,Smartwatch",Retail Store
"Home Goods,Decorative Pillows",Retail Store
"Beauty,Face Mask",Retail Store
"Clothing,Shorts",Retail Store
"Electronics,Game Console",Retail Store
"Home Goods,Dinnerware Set",Retail Store
"Beauty,Concealer",Retail Store
"Clothing,Blouse",Retail Store
"Electronics,Wireless Earbuds",Retail Store
"Home Goods,Throw Pillow",Retail Store
"Beauty,Lip Gloss",Retail Store
"Clothing,Suit",Retail Store
"Electronics,Monitor",Retail Store
"Home Goods,Coffee Maker",Retail Store
"Beauty,Eyeliner",Retail Store
"Clothing,Swimsuit",Retail Store
"Electronics,Printer",Retail Store
"Home Goods,Storage Bins",Retail Store
"Beauty,Hair Spray",Retail Store
"Clothing,Pants",Retail Store
"Electronics,Bluetooth Speaker",Retail Store
"Home Goods,Rugs",Retail Store
"Beauty,Face Moisturizer",Retail Store
"Clothing,Coat",Retail Store
"Electronics,Smart Home Hub",Retail Store
"Home Goods,Cutting Board",Retail Store
"Beauty,Makeup Brushes",Retail Store
"Clothing,Hat",Retail Store
"Electronics,Portable Charger",Retail Store
"Home Goods,Wall Clock",Retail Store
"Beauty,Eyebrow Pencil",Retail Store
"Clothing,Shoes",Retail Store
"Electronics,Gaming Mouse",Retail Store
"Home Goods,Vase",Retail Store
"Beauty,Lip Balm",Retail Store
"Clothing,Socks",Retail Store
"Electronics,Wireless Mouse",Retail Store
"Home Goods,Picture Frame",Retail Store
"Beauty,Highlighter",Retail Store
"Clothing,Gloves",Retail Store
"Electronics,External Hard Drive",Retail Store
"Home Goods,Plant Pot",Retail Store
"Beauty,Eyelash Curler",Retail Store
"Clothing,Underwear",Retail Store
"Electronics,USB Flash Drive",Retail Store
"Home Goods,Shower Curtain",Retail Store
"Beauty,Blush",Retail Store
"Clothing,Belt",Retail Store
"Electronics,Smart Speaker",Retail Store
"Home Goods,Iron",Retail Store
"Beauty,Makeup Remover",Retail Store
"Clothing,Sweatshirt",Retail Store
"Electronics,Keyboard",Retail Store
"Home Goods,Trash Can",Retail Store
"Beauty,Face Cleanser",Retail Store
"Clothing,Scarf",Retail Store
"Electronics,Virtual Reality Headset",Retail Store
"Home Goods,Laundry Basket",Retail Store
"Beauty,Face Serum",Retail Store
"Clothing,Pajamas",Retail Store
"Electronics,Wireless Keyboard",Retail Store
"Home Goods,Coasters",Retail Store
"Beauty,Body Lotion",Retail Store
"Clothing,Swim Trunks",Retail Store
"Electronics,Smart Thermostat",Retail Store
"Home Goods,Knife Set",Retail Store
"Beauty,Eyeshadow Palette",Retail Store
"Clothing,Tank Top",Retail Store
"Electronics,Wireless Mouse",Retail Store
"Home Goods,Placemats",Retail Store
