sale_item,business_industry
Pizza,Restaurant and Beverage
T-shirt,Retail Store
Electricity,Utilities
Band-Aids,Health Care
Burger,Restaurant and Beverage
Jeans,Retail Store
Water,Utilities
Antibiotics,Health Care
Coffee,Restaurant and Beverage
Shoes,Retail Store
Gas,Utilities
Vitamins,Health Care
Soda,Restaurant and Beverage
Hat,Retail Store
Internet,Utilities
First Aid Kit,Health Care
Smoothie,Restaurant and Beverage
Shorts,Retail Store
Water,Utilities
Painkillers,Health Care
Tea,Restaurant and Beverage
Dress,Retail Store
Electricity,Utilities
Cold Medicine,Health Care
Juice,Restaurant and Beverage
Phone,Retail Store
Gas,Utilities
Allergy Medicine,Health Care
Salad,Restaurant and Beverage
Sneakers,Retail Store
Water,Utilities
Bandages,Health Care
Bakery,Restaurant and Beverage
Jacket,Retail Store
Electricity,Utilities
Insurance,Health Care
Burger,Restaurant and Beverage
Shorts,Retail Store
Water,Utilities
Painkillers,Health Care
Coffee,Restaurant and Beverage
Jeans,Retail Store
Gas,Utilities
Vitamins,Health Care
Soda,Restaurant and Beverage
T-shirt,Retail Store
Electricity,Utilities
Antibiotics,Health Care
Smoothie,Restaurant and Beverage
Hat,Retail Store
Internet,Utilities
First Aid Kit,Health Care
Bread,Bakery
Sunglasses,Retail Store
Gas,Utilities
Antiseptic,Health Care
Burger,Restaurant and Beverage
Shoes,Retail Store
Water,Utilities
Painkillers,Health Care
Coffee,Restaurant and Beverage
Jeans,Retail Store
Electricity,Utilities
Vitamins,Health Care
Soda,Restaurant and Beverage
T-shirt,Retail Store
Internet,Utilities
First Aid Kit,Health Care
Smoothie,Restaurant and Beverage
Shorts,Retail Store
Water,Utilities
Antibiotics,Health Care
Tea,Restaurant and Beverage
Dress,Retail Store
Gas,Utilities
Cold Medicine,Health Care
Juice,Restaurant and Beverage
Phone,Retail Store
Electricity,Utilities
Bandages,Health Care
Salad,Restaurant and Beverage
Sneakers,Retail Store
Water,Utilities
Allergy Medicine,Health Care
Bakery,Restaurant and Beverage
Jacket,Retail Store
Electricity,Utilities
Insurance,Health Care
Burger,Restaurant and Beverage
Shorts,Retail Store
Water,Utilities
Painkillers,Health Care
Coffee,Restaurant and Beverage
Jeans,Retail Store
Gas,Utilities
Vitamins,Health Care
Soda,Restaurant and Beverage
T-shirt,Retail Store
Electricity,Utilities
Antibiotics,Health Care
Smoothie,Restaurant and Beverage
Hat,Retail Store
Internet,Utilities
First Aid Kit,Health Care
Bread,Bakery
Sunglasses,Retail Store
Gas,Utilities
Antiseptic,Health Care
Burger,Restaurant and Beverage
Shoes,Retail Store
Water,Utilities
Painkillers,Health Care
Coffee,Restaurant and Beverage
Jeans,Retail Store
Electricity,Utilities
Vitamins,Health Care
Soda,Restaurant and Beverage
T-shirt,Retail Store
Internet,Utilities
First Aid Kit,Health Care
Smoothie,Restaurant and Beverage
Shorts,Retail Store
Water,Utilities
Antibiotics,Health Care
Tea,Restaurant and Beverage
Dress,Retail Store
Gas,Utilities
Cold Medicine,Health Care
Juice,Restaurant and Beverage
Phone,Retail Store
Electricity,Utilities
Bandages,Health Care
Salad,Restaurant and Beverage
Sneakers,Retail Store
Water,Utilities
Allergy Medicine,Health Care
Bakery,Restaurant and Beverage
Jacket,Retail Store
Electricity,Utilities
Insurance,Health Care
